target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
vacancies,2023-02-01,2023-06-01,4,779410.0,785143.3861704217,858690.8446933723,738051.1787503777,495048.8134062621,2023-02-01,721061.570290397,58348.42970960296,812510.0,839950.0,790370.0,81464.92762593122,91779.46688140754,6,58614.874040022216,779676.4443304193
vacancies,2023-02-01,2023-07-01,5,742230.0,792346.6771084517,862572.0980533505,725817.5507179125,487999.8778131787,2023-02-01,718312.006851116,23917.993148884038,779410.0,812510.0,839950.0,58348.42970960296,81464.92762593122,7,30264.692413377496,748576.6992644934
vacancies,2023-02-01,2023-08-01,6,741875.0,793738.7298305075,868290.7391253199,735945.6551764036,481087.7538233506,2023-02-01,721697.0691244842,20177.930875515798,742230.0,779410.0,812510.0,23917.993148884038,58348.42970960296,8,11236.182926793444,732933.2520512777
vacancies,2023-02-01,2023-09-01,7,693950.0,812703.4568931711,882754.9683001094,749390.2128149116,474381.3829361196,2023-02-01,733443.5059810309,-39493.505981030874,741875.0,742230.0,779410.0,20177.930875515798,23917.993148884038,9,-31410.234721942248,702033.2712590887
vacancies,2023-02-01,2023-10-01,8,711930.0,813956.6971290878,882035.6346592588,724090.256713632,467654.7087260996,2023-02-01,723498.8109371932,-11568.810937193222,693950.0,741875.0,742230.0,-39493.505981030874,20177.930875515798,10,-19930.826125774263,703567.9848114189
vacancies,2023-02-01,2023-11-01,9,656565.0,780581.9889269093,873130.7668883038,701352.8164560338,461115.4450731601,2023-02-01,701321.6591506163,-44756.659150616266,711930.0,693950.0,741875.0,-11568.810937193222,-39493.505981030874,11,-37795.31400817036,663526.3451424459
vacancies,2023-02-01,2023-12-01,10,534525.0,742998.3774217108,861614.1502432944,684920.6810768032,454979.6102242952,2023-02-01,679720.3503052748,-145195.35030527483,656565.0,711930.0,693950.0,-44756.659150616266,-11568.810937193222,12,-141246.03733952396,538474.3129657509
vacancies,2023-02-01,2024-01-01,11,600555.0,748007.9782356595,877803.6277622734,694100.9539302771,449394.5319561296,2023-02-01,685320.0934192926,-84765.09341929259,534525.0,656565.0,711930.0,-145195.35030527483,-44756.659150616266,1,-86381.36776188131,598938.7256574113
vacancies,2023-02-01,2024-02-01,12,588470.0,740944.1156613496,875816.9443103576,702753.9378645105,443156.23622667725,2023-02-01,684532.0248591218,-96062.02485912177,600555.0,534525.0,656565.0,-84765.09341929259,-145195.35030527483,2,-76458.41542269444,608073.6094364274
vacancies,2023-03-01,2023-04-01,1,839950.0,798417.0735070074,860294.9297090307,782912.1254265881,480679.2748659089,2023-03-01,739350.5495917851,100599.45040821494,588470.0,600555.0,534525.0,-96062.02485912177,-84765.09341929259,4,-4491.357919771276,734859.1916720138
vacancies,2023-03-01,2023-05-01,2,812510.0,783899.2415232895,863033.1862201579,757364.1552214972,462487.7703556398,2023-03-01,721859.019644316,90650.98035568395,839950.0,588470.0,600555.0,100599.45040821494,-96062.02485912177,5,85004.49726131842,806863.5169056344
vacancies,2023-03-01,2023-06-01,3,779410.0,769689.7153736486,862372.1540894578,756126.6460867416,446510.7809902411,2023-03-01,713274.263651586,66135.73634841398,812510.0,839950.0,588470.0,90650.98035568395,100599.45040821494,6,66332.59079648196,779606.854448068
vacancies,2023-03-01,2023-07-01,4,742230.0,775767.8067376052,866139.2678376576,749136.314009302,433963.84340464696,2023-03-01,710960.1757044215,31269.824295578524,779410.0,812510.0,839950.0,66135.73634841398,90650.98035568395,7,33901.43959287576,744861.6152972972
vacancies,2023-03-01,2023-08-01,5,741875.0,776563.8584199498,871669.926110497,758579.7306632309,423621.8749820656,2023-03-01,713226.3155063675,28648.68449363252,742230.0,779410.0,812510.0,31269.824295578524,66135.73634841398,8,19914.60463256142,733140.9201389289
vacancies,2023-03-01,2023-09-01,6,693950.0,794342.609589293,886486.4125552145,768726.7307225256,411118.8892035819,2023-03-01,722315.5604143481,-28365.560414348147,741875.0,742230.0,779410.0,28648.68449363252,31269.824295578524,9,-24565.63291473267,697749.9274996155
vacancies,2023-03-01,2023-10-01,7,711930.0,794975.4080227865,885864.4427867385,741583.6180704453,401345.3243221733,2023-03-01,710927.3786930785,1002.6213069214718,693950.0,741875.0,742230.0,-28365.560414348147,28648.68449363252,10,-12131.45444510857,698795.92424797
vacancies,2023-03-01,2023-11-01,8,656565.0,762350.1419505953,876675.4035943155,716408.0512999695,393215.31076256256,2023-03-01,687819.7119217359,-31254.7119217359,711930.0,693950.0,741875.0,1002.6213069214718,-28365.560414348147,11,-37061.981638635625,650757.7302831003
vacancies,2023-03-01,2023-12-01,9,534525.0,725734.2282920335,865363.7307266758,702156.1323909161,387561.4040974896,2023-03-01,667455.9419854335,-132930.94198543346,656565.0,711930.0,693950.0,-31254.7119217359,1002.6213069214718,12,-131315.04360837248,536140.898377061
vacancies,2023-03-01,2024-01-01,10,600555.0,730476.9071395444,882680.7714725964,703153.9921377244,383722.3908385386,2023-03-01,670464.2748924482,-69909.27489244821,534525.0,656565.0,711930.0,-132930.94198543346,-31254.7119217359,1,-69093.56961092015,601370.7052815281
vacancies,2023-03-01,2024-02-01,11,588470.0,723428.5363896518,880522.4084672859,709086.3058606276,381275.49657775817,2023-03-01,669400.2172518541,-80930.21725185413,600555.0,534525.0,656565.0,-69909.27489244821,-132930.94198543346,2,-70872.83054605663,598527.3867057975
vacancies,2023-03-01,2024-03-01,12,595090.0,762218.4118364704,906568.5350145292,726147.4504047135,379444.7281185188,2023-03-01,691569.948982962,-96479.94898296206,588470.0,600555.0,534525.0,-80930.21725185413,-69909.27489244821,3,-69004.96466053279,622564.9843224293
vacancies,2023-04-01,2023-05-01,1,812510.0,817238.08117192,859384.4266600093,805461.0847803958,466466.9135424415,2023-04-01,751417.9138017056,61092.08619829442,595090.0,588470.0,600555.0,-96479.94898296206,-80930.21725185413,5,-16229.565545289115,735188.3482564165
vacancies,2023-04-01,2023-06-01,2,779410.0,808980.2138038032,859034.8290381288,811787.3332221897,458925.3689793217,2023-04-01,749282.875703703,30127.12429629697,812510.0,595090.0,588470.0,61092.08619829442,-96479.94898296206,6,46229.87992784717,795512.7556315502
vacancies,2023-04-01,2023-07-01,3,742230.0,816758.3427417303,862813.1879446189,809925.8714872536,451495.00717338506,2023-04-01,750373.8996169302,-8143.899616930168,779410.0,812510.0,595090.0,30127.12429629697,61092.08619829442,7,-1033.8124344749765,749340.0871824552
vacancies,2023-04-01,2023-08-01,4,741875.0,819903.5054102588,868518.8656298597,821878.1026226515,444087.6375366974,2023-04-01,754946.0861814829,-13071.086181482882,742230.0,779410.0,812510.0,-8143.899616930168,30127.12429629697,8,-17205.407969056767,737740.6782124261
vacancies,2023-04-01,2023-09-01,5,693950.0,840220.973579976,882941.5436605826,837384.0950671415,435820.5161716986,2023-04-01,767619.116439518,-73669.11643951805,741875.0,742230.0,779410.0,-13071.086181482882,-8143.899616930168,9,-47366.498158818635,720252.6182806995
vacancies,2023-04-01,2023-10-01,6,711930.0,842061.3320775778,882071.2546830832,812577.3147922589,427250.84413270507,2023-04-01,757701.670880085,-45771.670880084974,693950.0,741875.0,742230.0,-73669.11643951805,-13071.086181482882,10,-61719.783217571385,695981.8876625136
vacancies,2023-04-01,2023-11-01,7,656565.0,808197.3004052244,873353.2521149828,783838.4519459741,418596.5390674702,2023-04-01,732821.2321420781,-76256.23214207811,711930.0,693950.0,741875.0,-45771.670880084974,-73669.11643951805,11,-62085.72912152164,670735.5030205564
vacancies,2023-04-01,2023-12-01,8,534525.0,769828.2428092185,862018.4571191029,769335.209071623,410362.3826076048,2023-04-01,711254.5698407001,-176729.56984070013,656565.0,711930.0,693950.0,-76256.23214207811,-45771.670880084974,12,-173426.43821242798,537828.1316282721
vacancies,2023-04-01,2024-01-01,9,600555.0,775518.8741537903,878587.8640805515,764757.071892262,402794.8570955898,2023-04-01,711834.2376996905,-111279.23769969051,534525.0,656565.0,711930.0,-176729.56984070013,-76256.23214207811,1,-105018.57566971394,606815.6620299766
vacancies,2023-04-01,2024-02-01,10,588470.0,768388.8475297416,876789.2170051729,766516.3047120494,394391.2723315332,2023-04-01,708165.3564950188,-119695.35649501882,600555.0,534525.0,656565.0,-111279.23769969051,-176729.56984070013,2,-73912.5806466689,634252.7758483499
vacancies,2023-04-01,2024-03-01,11,595090.0,810217.4102932388,902132.8058659862,795023.2936172326,386350.0437543914,2023-04-01,734293.1370977167,-139203.13709771668,588470.0,600555.0,534525.0,-119695.35649501882,-111279.23769969051,3,-104311.84461476243,629981.2924829542
vacancies,2023-04-01,2024-04-01,12,642810.0,831608.2828914368,916996.2509122782,798480.7418318891,378524.802831181,2023-04-01,743158.9043520673,-100348.90435206727,595090.0,588470.0,600555.0,-139203.13709771668,-119695.35649501882,4,-86799.75850608698,656359.1458459803
vacancies,2023-05-01,2023-06-01,1,779410.0,805080.6983778746,865704.7758428497,817264.8789928529,487248.7777826185,2023-05-01,755796.0279345318,23613.972065468202,642810.0,595090.0,588470.0,-100348.90435206727,-139203.13709771668,6,-35609.53904285684,720186.4888916749
vacancies,2023-05-01,2023-07-01,2,742230.0,812081.3640148303,869386.4358683829,815158.0203188866,471288.4983524819,2023-05-01,754914.5656815543,-12684.56568155426,779410.0,642810.0,595090.0,23613.972065468202,-100348.90435206727,7,-5385.961095139888,749528.6045864144
vacancies,2023-05-01,2023-08-01,3,741875.0,815052.5765803076,875042.7368921385,826442.0435509777,456149.30446045095,2023-05-01,757732.7971984528,-15857.797198452754,742230.0,779410.0,642810.0,-12684.56568155426,23613.972065468202,8,-17391.177230219502,740341.6199682333
vacancies,2023-05-01,2023-09-01,4,693950.0,835016.1761641063,889447.8467894301,841250.3008282746,441183.5614290546,2023-05-01,768773.3919192816,-74823.39191928157,741875.0,742230.0,779410.0,-15857.797198452754,-12684.56568155426,9,-47487.7104947666,721285.681424515
