target,origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,train_end_date,ensemble_pred,residual,lag1,lag2,lag3,resid_lag1,resid_lag2,month,rf_residual,final_forecast
unemployment,2024-03-01,2024-05-01,2,1380700.0,1359223.3225061095,1357080.2325553969,1356474.0639033073,1367948.6787632152,2024-03-01,1359611.794045073,21088.20595492702,1360600.0,1483800.0,1495300.0,6178.870483378647,149770.07581048482,5,16122.068824534566,1375733.8628696075
unemployment,2024-03-01,2024-06-01,3,1423000.0,1359399.6782901331,1357080.2325553969,1377109.2171320787,1393230.3795354022,2024-03-01,1371558.7456163107,51441.25438368926,1380700.0,1360600.0,1483800.0,21088.20595492702,6178.870483378647,6,45450.05715081552,1417008.8027671264
unemployment,2024-03-01,2024-07-01,4,1422200.0,1359426.3901088322,1357080.2325553969,1391612.2162676472,1414549.2853072295,2024-03-01,1380659.5756077317,41540.424392268294,1423000.0,1380700.0,1360600.0,51441.25438368926,21088.20595492702,7,61616.26427566413,1442275.839883396
unemployment,2024-03-01,2024-08-01,5,1460100.0,1359430.4357716383,1357080.2325553969,1384981.235802832,1430071.4896002242,2024-03-01,1381677.059023054,78422.94097694592,1422200.0,1423000.0,1380700.0,41540.424392268294,51441.25438368926,8,68682.76817263402,1450359.8271956882
unemployment,2024-03-01,2024-09-01,6,1435900.0,1359431.0485052974,1357080.2325553969,1382527.463888109,1438244.8426205628,2024-03-01,1382550.8631112268,53349.13688877318,1460100.0,1422200.0,1423000.0,78422.94097694592,41540.424392268294,9,81435.46065090998,1463986.3237621367
unemployment,2024-03-01,2024-10-01,7,1467300.0,1359431.1413064064,1357080.2325553969,1387844.1042275478,1440293.0021421476,2024-03-01,1384703.8575531882,82596.14244681178,1435900.0,1460100.0,1422200.0,53349.13688877318,78422.94097694592,10,80808.5722242625,1465512.4297774506
unemployment,2024-03-01,2024-11-01,8,1559700.0,1359431.1553615232,1357080.2325553969,1392693.8426438526,1441539.1198630868,2024-03-01,1386540.3526754528,173159.64732454717,1467300.0,1435900.0,1460100.0,82596.14244681178,53349.13688877318,11,145278.45396937965,1531818.8066448325
unemployment,2024-03-01,2024-12-01,9,1502600.0,1359431.1574902306,1357080.2325553969,1384215.880223415,1439096.5780885145,2024-03-01,1383275.8343118294,119324.16568817059,1559700.0,1467300.0,1435900.0,173159.64732454717,82596.14244681178,12,133131.3009581256,1516407.135269955
unemployment,2024-03-01,2025-01-01,10,1495300.0,1359431.157812633,1357080.2325553969,1383760.7051601985,1433362.5398601757,2024-03-01,1381953.202540747,113346.79745925311,1502600.0,1559700.0,1467300.0,119324.16568817059,173159.64732454717,1,129220.29794026664,1511173.5004810134
unemployment,2024-03-01,2025-02-01,11,1483800.0,1359431.1578614612,1357080.2325553969,1382043.2271527278,1422121.1875624135,2024-03-01,1379091.1943375117,104708.80566248833,1495300.0,1502600.0,1559700.0,113346.79745925311,119324.16568817059,2,112347.94249480397,1491439.1368323157
unemployment,2024-03-01,2025-03-01,12,1520600.0,1359431.1578688554,1357080.2325553969,1384499.5849250152,1412346.0793877165,2024-03-01,1377890.3697996165,142709.6302003835,1483800.0,1495300.0,1502600.0,104708.80566248833,113346.79745925311,3,120771.17949486709,1498661.5492944836
unemployment,2024-04-01,2024-05-01,1,1380700.0,1362153.003916667,1361181.9000324246,1356375.8091975274,1364112.922839458,2024-04-01,1360443.2183637382,20256.781636261847,1520600.0,1483800.0,1495300.0,142709.6302003835,104708.80566248833,5,129573.03540158256,1490016.2537653206
unemployment,2024-04-01,2024-06-01,2,1423000.0,1362388.589897752,1361181.9000324246,1375148.888922207,1384725.0445811544,2024-04-01,1370840.7005909705,52159.29940902954,1380700.0,1520600.0,1483800.0,20256.781636261847,142709.6302003835,6,44094.96493719116,1414935.6655281617
unemployment,2024-04-01,2024-07-01,3,1422200.0,1362424.3076679374,1361181.9000324246,1387849.8561146366,1403336.959597558,2024-04-01,1378801.736142413,43398.26385758701,1423000.0,1380700.0,1520600.0,52159.29940902954,20256.781636261847,7,58437.280251009135,1437239.0163934221
unemployment,2024-04-01,2024-08-01,4,1460100.0,1362429.7224694882,1361181.9000324246,1377170.383170768,1416903.2054414384,2024-04-01,1378098.9434380338,82001.0565619662,1422200.0,1423000.0,1380700.0,43398.26385758701,52159.29940902954,8,71795.92201581162,1449894.8654538454
unemployment,2024-04-01,2024-09-01,5,1435900.0,1362430.5433410103,1361181.9000324246,1373556.096006221,1419322.3127424628,2024-04-01,1377416.0423996565,58483.95760034351,1460100.0,1422200.0,1423000.0,82001.0565619662,43398.26385758701,9,81573.99180028994,1458990.0341999463
unemployment,2024-04-01,2024-10-01,6,1467300.0,1362430.6677830112,1361181.9000324246,1375486.0125271347,1414474.469821671,2024-04-01,1377052.6008688745,90247.39913112554,1435900.0,1460100.0,1422200.0,58483.95760034351,82001.0565619662,10,91690.20266939918,1468742.8035382736
unemployment,2024-04-01,2024-11-01,7,1559700.0,1362430.686648092,1361181.9000324246,1379262.417991522,1410362.8951191402,2024-04-01,1377441.976078252,182258.02392174792,1467300.0,1435900.0,1460100.0,90247.39913112554,58483.95760034351,11,154502.2656346402,1531944.2417128922
unemployment,2024-04-01,2024-12-01,8,1502600.0,1362430.6895079887,1361181.9000324246,1368275.4159956456,1402667.0175706674,2024-04-01,1372283.5787289124,130316.4212710876,1559700.0,1467300.0,1435900.0,182258.02392174792,90247.39913112554,12,139503.09135643556,1511786.670085348
unemployment,2024-04-01,2025-01-01,9,1495300.0,1362430.689941542,1361181.9000324246,1366230.3711018227,1391809.3029589425,2024-04-01,1369393.3251139522,125906.67488604784,1502600.0,1559700.0,1467300.0,130316.4212710876,182258.02392174792,1,131737.0409129538,1501130.3660269058
unemployment,2024-04-01,2025-02-01,10,1483800.0,1362430.6900072664,1361181.9000324246,1362789.0996888273,1372961.687718883,2024-04-01,1364411.6434427483,119388.35655725165,1495300.0,1502600.0,1559700.0,125906.67488604784,130316.4212710876,2,135406.21914693562,1499817.8625896838
unemployment,2024-04-01,2025-03-01,11,1520600.0,1362430.69001723,1361181.9000324246,1364512.6854412362,1356760.706638234,2024-04-01,1361655.999479141,158944.0005208589,1483800.0,1495300.0,1502600.0,119388.35655725165,125906.67488604784,3,141461.35808762859,1503117.3575667697
unemployment,2024-04-01,2025-04-01,12,1553500.0,1362430.6900187402,1361181.9000324246,1362587.7628547042,1342520.2299218792,2024-04-01,1358112.190640417,195387.80935958307,1520600.0,1483800.0,1495300.0,158944.0005208589,119388.35655725165,4,153735.87015243885,1511848.0607928557
unemployment,2024-05-01,2024-06-01,1,1423000.0,1383777.1544657324,1383951.952323994,1402064.8200173853,1301891.979809045,2024-05-01,1373012.5345277418,49987.46547225816,1553500.0,1520600.0,1483800.0,195387.80935958307,158944.0005208589,6,141474.0893261615,1514486.6238539033
unemployment,2024-05-01,2024-07-01,2,1422200.0,1384244.8844483634,1383951.952323994,1412365.4401515033,1305494.566243783,2024-05-01,1377218.809364705,44981.190635294886,1423000.0,1553500.0,1520600.0,49987.46547225816,195387.80935958307,7,53530.15774360366,1430748.9671083088
