target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
unemployment,2023-07-01,2023-10-01,3,same_horizon_past_rmse,7,0.2605305965308599,0.26042755990344224,0.25201306752257574,0.22702877604312227
unemployment,2023-07-01,2023-11-01,4,same_horizon_past_rmse,7,0.2374982945797341,0.2364004210514334,0.28854408814183335,0.23755719622699914
unemployment,2023-07-01,2023-12-01,5,same_horizon_past_rmse,7,0.21917844474835707,0.21836879072630083,0.30723794267505955,0.25521482185028255
unemployment,2023-07-01,2024-01-01,6,same_horizon_past_rmse,7,0.2107031209403138,0.21027561325878466,0.2942231335355272,0.2847981322653745
unemployment,2023-07-01,2024-02-01,7,same_horizon_past_rmse,7,0.19247566599252047,0.19220932724738146,0.2773955220819097,0.33791948467818844
unemployment,2023-07-01,2024-03-01,8,same_horizon_past_rmse,7,0.18281690805844902,0.18245755437909128,0.2792569781419531,0.35546855942050665
unemployment,2023-07-01,2024-04-01,9,same_horizon_past_rmse,7,0.18290730724130405,0.18253000132579758,0.28151191217447474,0.3530507792584237
unemployment,2023-07-01,2024-05-01,10,same_horizon_past_rmse,7,0.18402095627038018,0.1837348517593776,0.27411671164948753,0.35812748032075475
unemployment,2023-07-01,2024-06-01,11,same_horizon_past_rmse,7,0.17411645139421927,0.17390645171449737,0.2503726943279241,0.40160440256335933
unemployment,2023-07-01,2024-07-01,12,same_horizon_past_rmse,7,0.1643641318631658,0.16416077346278427,0.23216443621818786,0.4393106584558621
unemployment,2023-08-01,2023-09-01,1,same_horizon_past_rmse,8,0.3099283985776515,0.3141319268242146,0.25852318376205746,0.11741649083607651
unemployment,2023-08-01,2023-10-01,2,same_horizon_past_rmse,8,0.2857693455248623,0.28662516640192076,0.2519705686103495,0.17563491946286752
unemployment,2023-08-01,2023-11-01,3,same_horizon_past_rmse,8,0.26575338519782105,0.2647502446899951,0.2756516871985598,0.1938446829136239
unemployment,2023-08-01,2023-12-01,4,same_horizon_past_rmse,8,0.24278383951226334,0.24120805407620624,0.3058654657017276,0.21014264070980285
unemployment,2023-08-01,2024-01-01,5,same_horizon_past_rmse,8,0.22530764737077774,0.22418157221825438,0.31696172370272246,0.2335490567082454
unemployment,2023-08-01,2024-02-01,6,same_horizon_past_rmse,8,0.21391755106719848,0.213299961632789,0.3041476281658128,0.2686348591341997
unemployment,2023-08-01,2024-03-01,7,same_horizon_past_rmse,8,0.20166825774753158,0.20117618476397744,0.29706398625752345,0.30009157123096764
unemployment,2023-08-01,2024-04-01,8,same_horizon_past_rmse,8,0.1962801194914924,0.19571504275921814,0.30216944998057255,0.30583538776871694
unemployment,2023-08-01,2024-05-01,9,same_horizon_past_rmse,8,0.19287646854086699,0.19234451972487215,0.29847336114366074,0.31630565059060023
unemployment,2023-08-01,2024-06-01,10,same_horizon_past_rmse,8,0.19282607846706787,0.19240536675451247,0.28787489957769347,0.32689365520072616
unemployment,2023-08-01,2024-07-01,11,same_horizon_past_rmse,8,0.18877973582801372,0.18843746838000755,0.27005613986533156,0.3527266559266471
unemployment,2023-08-01,2024-08-01,12,same_horizon_past_rmse,8,0.17990393003725857,0.17959147874147852,0.2528250024566471,0.38767958876461595
unemployment,2023-09-01,2023-10-01,1,same_horizon_past_rmse,9,0.3103841315437466,0.3137214268814514,0.2685694100257455,0.10732503154905644
unemployment,2023-09-01,2023-11-01,2,same_horizon_past_rmse,9,0.2791913996271318,0.27945337530304387,0.280809898780784,0.16054532628904047
unemployment,2023-09-01,2023-12-01,3,same_horizon_past_rmse,9,0.2636913407268989,0.26276706634942415,0.29593887275692876,0.17760272016674825
unemployment,2023-09-01,2024-01-01,4,same_horizon_past_rmse,9,0.2460787783318861,0.24469303350719904,0.31661663178544236,0.19261155637547242
unemployment,2023-09-01,2024-02-01,5,same_horizon_past_rmse,9,0.22844862668351007,0.22735348295599458,0.3301179955279031,0.21407989483259227
unemployment,2023-09-01,2024-03-01,6,same_horizon_past_rmse,9,0.22061822476385323,0.22002284936718874,0.32317562577189296,0.23618330009706506
unemployment,2023-09-01,2024-04-01,7,same_horizon_past_rmse,9,0.21401392450726692,0.21354353068714912,0.31936405361053055,0.2530784911950535
unemployment,2023-09-01,2024-05-01,8,same_horizon_past_rmse,9,0.20845708403571148,0.20791947328345298,0.32181297491120114,0.26181046776963446
unemployment,2023-09-01,2024-06-01,9,same_horizon_past_rmse,9,0.20611137142878957,0.2056000244392623,0.3167767144610946,0.2715118896708535
unemployment,2023-09-01,2024-07-01,10,same_horizon_past_rmse,9,0.2078621483623803,0.20745526501178577,0.3061798319973425,0.27850275462849144
unemployment,2023-09-01,2024-08-01,11,same_horizon_past_rmse,9,0.20516971602800593,0.20482387491993118,0.29137024896647085,0.29863616008559213
unemployment,2023-09-01,2024-09-01,12,same_horizon_past_rmse,9,0.20302483311634043,0.20270157050252433,0.2817885589770711,0.31248503740406414
unemployment,2023-10-01,2023-11-01,1,same_horizon_past_rmse,10,0.2953588304551994,0.29837025948162427,0.2924901766958467,0.11378073336732963
unemployment,2023-10-01,2023-12-01,2,same_horizon_past_rmse,10,0.27479908884880055,0.27509427423547755,0.288948789330137,0.16115784758558493
unemployment,2023-10-01,2024-01-01,3,same_horizon_past_rmse,10,0.26140791000708935,0.2606798917921396,0.29850574511493516,0.17940645308583594
unemployment,2023-10-01,2024-02-01,4,same_horizon_past_rmse,10,0.24346697692925826,0.24221338682765794,0.32216734647120543,0.1921522897718784
unemployment,2023-10-01,2024-03-01,5,same_horizon_past_rmse,10,0.22458354509778722,0.22369777991843162,0.33642621502474224,0.21529245995903876
unemployment,2023-10-01,2024-04-01,6,same_horizon_past_rmse,10,0.2171885406499046,0.21673087588352696,0.3272889215756941,0.23879166189087447
unemployment,2023-10-01,2024-05-01,7,same_horizon_past_rmse,10,0.2110246008121622,0.2106435370556083,0.3217456539023205,0.2565862082299091
unemployment,2023-10-01,2024-06-01,8,same_horizon_past_rmse,10,0.20580686170791418,0.2053648721122918,0.3216503161117766,0.26717795006801737
unemployment,2023-10-01,2024-07-01,9,same_horizon_past_rmse,10,0.20387630192289172,0.2034630094714012,0.3136312778448975,0.27902941076080945
