target,origin,forecast_date,horizon,weight_source,n_past_origins,w_sarimax,w_tbats_prophet,w_var,w_bilstm
vacancies,2023-11-01,2024-09-01,10,same_horizon_past_rmse,11,0.2915108056049179,0.13995742103262498,0.3434263062830894,0.2251054670793678
vacancies,2023-11-01,2024-10-01,11,same_horizon_past_rmse,11,0.2845257602743056,0.13808825062093513,0.3355987229958992,0.24178726610886017
vacancies,2023-11-01,2024-11-01,12,same_horizon_past_rmse,11,0.28092004662181597,0.1347452254853244,0.3320529484228064,0.2522817794700532
vacancies,2023-12-01,2024-01-01,1,same_horizon_past_rmse,12,0.43855823007143113,0.12146085317850684,0.3686910413450951,0.07128987540496684
vacancies,2023-12-01,2024-02-01,2,same_horizon_past_rmse,12,0.4222977643008546,0.12261281312313436,0.37255202900420836,0.08253739357180273
vacancies,2023-12-01,2024-03-01,3,same_horizon_past_rmse,12,0.39365758615526114,0.12447990612439343,0.3885698002571002,0.09329270746324536
vacancies,2023-12-01,2024-04-01,4,same_horizon_past_rmse,12,0.3685816648978771,0.13825735069495254,0.3746675989100835,0.11849338549708699
vacancies,2023-12-01,2024-05-01,5,same_horizon_past_rmse,12,0.34668037626284537,0.13919881173832918,0.37997813244326306,0.1341426795555623
vacancies,2023-12-01,2024-06-01,6,same_horizon_past_rmse,12,0.3283236258160529,0.1389115130731761,0.3776602587782401,0.15510460233253087
vacancies,2023-12-01,2024-07-01,7,same_horizon_past_rmse,12,0.31939158051648714,0.14171014058250192,0.35844106738985293,0.180457211511158
vacancies,2023-12-01,2024-08-01,8,same_horizon_past_rmse,12,0.3100681516394738,0.14090648250233942,0.3470232596065922,0.2020021062515946
vacancies,2023-12-01,2024-09-01,9,same_horizon_past_rmse,12,0.2988042528066876,0.135021598369588,0.3472197381959865,0.218954410627738
vacancies,2023-12-01,2024-10-01,10,same_horizon_past_rmse,12,0.2951380177442192,0.1347416812024433,0.34257556625776425,0.2275447347955733
vacancies,2023-12-01,2024-11-01,11,same_horizon_past_rmse,12,0.2876873729770135,0.13366436198296383,0.3340175789078299,0.2446306861321928
vacancies,2023-12-01,2024-12-01,12,same_horizon_past_rmse,12,0.2845436459294009,0.13013377083957797,0.3280398734950303,0.2572827097359909
vacancies,2024-01-01,2024-02-01,1,same_horizon_past_rmse,13,0.43827232474367733,0.11611919758443708,0.3700078142837864,0.07560066338809913
vacancies,2024-01-01,2024-03-01,2,same_horizon_past_rmse,13,0.4201076362607316,0.11880174900626826,0.3739616927066537,0.08712892202634649
vacancies,2024-01-01,2024-04-01,3,same_horizon_past_rmse,13,0.39817392015131153,0.11844668788562553,0.387506012860385,0.09587337910267799
vacancies,2024-01-01,2024-05-01,4,same_horizon_past_rmse,13,0.3686396171030959,0.13762213942967122,0.37170445234730126,0.12203379111993166
vacancies,2024-01-01,2024-06-01,5,same_horizon_past_rmse,13,0.349506805015247,0.13609742134071182,0.3778759857240046,0.13651978792003663
vacancies,2024-01-01,2024-07-01,6,same_horizon_past_rmse,13,0.3319468486213294,0.13323026037136376,0.37838003123926145,0.15644285976804537
vacancies,2024-01-01,2024-08-01,7,same_horizon_past_rmse,13,0.32295107910716214,0.13487289169106412,0.36116713043659,0.18100889876518378
vacancies,2024-01-01,2024-09-01,8,same_horizon_past_rmse,13,0.3133684589163929,0.13496763491748837,0.3499101016780313,0.20175380448808736
vacancies,2024-01-01,2024-10-01,9,same_horizon_past_rmse,13,0.30154565965789026,0.12962434111776067,0.3512533417257326,0.21757665749861652
vacancies,2024-01-01,2024-11-01,10,same_horizon_past_rmse,13,0.29794069924873,0.12957381290765974,0.3465804985401523,0.22590498930345795
vacancies,2024-01-01,2024-12-01,11,same_horizon_past_rmse,13,0.29044368383421015,0.12781753259993953,0.33759106681360135,0.24414771675224897
vacancies,2024-01-01,2025-01-01,12,same_horizon_past_rmse,13,0.2876483377059101,0.12259378980630181,0.3296155508583958,0.26014232162939227
vacancies,2024-02-01,2024-03-01,1,same_horizon_past_rmse,14,0.4407678891681055,0.10764774741358216,0.3749135916116504,0.07667077180666204
vacancies,2024-02-01,2024-04-01,2,same_horizon_past_rmse,14,0.424156158280374,0.11045649798437815,0.3776485436641577,0.08773880007109025
vacancies,2024-02-01,2024-05-01,3,same_horizon_past_rmse,14,0.3987868968655841,0.11377640766770773,0.3912448030471226,0.09619189241958559
vacancies,2024-02-01,2024-06-01,4,same_horizon_past_rmse,14,0.3714791091308119,0.13120826827170515,0.3750390333151468,0.1222735892823362
vacancies,2024-02-01,2024-07-01,5,same_horizon_past_rmse,14,0.3528760750785513,0.12890123350423127,0.38104066682757476,0.13718202458964265
vacancies,2024-02-01,2024-08-01,6,same_horizon_past_rmse,14,0.3354390739163447,0.12652748470042866,0.38030252254660923,0.15773091883661752
vacancies,2024-02-01,2024-09-01,7,same_horizon_past_rmse,14,0.32609803096503553,0.1287934552208644,0.3632738792557342,0.18183463455836596
vacancies,2024-02-01,2024-10-01,8,same_horizon_past_rmse,14,0.3170458819055935,0.12961436168975787,0.35065810005861975,0.2026816563460289
vacancies,2024-02-01,2024-11-01,9,same_horizon_past_rmse,14,0.30504027734083883,0.1251716177537504,0.3511767119220428,0.2186113929833681
vacancies,2024-02-01,2024-12-01,10,same_horizon_past_rmse,14,0.3007597799864856,0.1243891102739778,0.3472032589981026,0.22764785074143395
vacancies,2024-02-01,2025-01-01,11,same_horizon_past_rmse,14,0.2948218681620847,0.12260233025017797,0.3322246024030023,0.250351199184735
vacancies,2024-02-01,2025-02-01,12,same_horizon_past_rmse,14,0.29086961825185764,0.1184624189760949,0.3261054080013684,0.2645625547706791
vacancies,2024-03-01,2024-04-01,1,same_horizon_past_rmse,15,0.44187119171606704,0.10080341013760633,0.3795785334344105,0.07774686471191612
vacancies,2024-03-01,2024-05-01,2,same_horizon_past_rmse,15,0.42677589114648096,0.10563426287136092,0.3798203567622808,0.08776948921987732
vacancies,2024-03-01,2024-06-01,3,same_horizon_past_rmse,15,0.4013369811860281,0.1082953331243216,0.3938994367438025,0.09646824894584782
vacancies,2024-03-01,2024-07-01,4,same_horizon_past_rmse,15,0.37371537162855545,0.12437780820282833,0.3785450461964406,0.12336177397217558
vacancies,2024-03-01,2024-08-01,5,same_horizon_past_rmse,15,0.3545870975819592,0.12273687019037763,0.3835623985847243,0.13911363364293874
vacancies,2024-03-01,2024-09-01,6,same_horizon_past_rmse,15,0.33728164776076586,0.12111139848976869,0.3821192589665669,0.15948769478289865
vacancies,2024-03-01,2024-10-01,7,same_horizon_past_rmse,15,0.3288586701916069,0.1239944843405529,0.36307944716684154,0.1840673983009986
vacancies,2024-03-01,2024-11-01,8,same_horizon_past_rmse,15,0.3192241037090429,0.1254450547523807,0.3499567427703859,0.20537409876819057
vacancies,2024-03-01,2024-12-01,9,same_horizon_past_rmse,15,0.30646408023268723,0.1205510943092188,0.35146558613333956,0.22151923932475445
vacancies,2024-03-01,2025-01-01,10,same_horizon_past_rmse,15,0.3046820080810786,0.12052568244701031,0.3410535690688791,0.23373874040303194
vacancies,2024-03-01,2025-02-01,11,same_horizon_past_rmse,15,0.2974220727121451,0.1192562207372143,0.3280946042631324,0.25522710228750817
vacancies,2024-03-01,2025-03-01,12,same_horizon_past_rmse,15,0.2937386033026213,0.11534736329138857,0.32158311819363616,0.269330915212354
vacancies,2024-04-01,2024-05-01,1,same_horizon_past_rmse,16,0.44173435837741265,0.09731050246851201,0.3827427425152956,0.07821239663877984
vacancies,2024-04-01,2024-06-01,2,same_horizon_past_rmse,16,0.4294381130693763,0.10080627675694884,0.3818415360449854,0.08791407412868958
vacancies,2024-04-01,2024-07-01,3,same_horizon_past_rmse,16,0.4043278091147843,0.10222814221801917,0.3967982529982267,0.09664579566896968
vacancies,2024-04-01,2024-08-01,4,same_horizon_past_rmse,16,0.37663996113990006,0.11777320576139708,0.381512644004429,0.12407418909427383
vacancies,2024-04-01,2024-09-01,5,same_horizon_past_rmse,16,0.3573051461789702,0.11703043826835267,0.38617893341855,0.13948548213412706
vacancies,2024-04-01,2024-10-01,6,same_horizon_past_rmse,16,0.34059077608900407,0.11625937820656654,0.3832556178388184,0.15989422786561105
vacancies,2024-04-01,2024-11-01,7,same_horizon_past_rmse,16,0.33197360297503375,0.11970363098761602,0.3637372090381927,0.1845855569991576
vacancies,2024-04-01,2024-12-01,8,same_horizon_past_rmse,16,0.3215949355437372,0.12048319526934224,0.3514740223500945,0.20644784683682618
vacancies,2024-04-01,2025-01-01,9,same_horizon_past_rmse,16,0.3106955736187339,0.11603580390494239,0.34579781061046394,0.22747081186585968
vacancies,2024-04-01,2025-02-01,10,same_horizon_past_rmse,16,0.30802394320302157,0.11675030663961368,0.33746165879704626,0.2377640913603184
vacancies,2024-04-01,2025-03-01,11,same_horizon_past_rmse,16,0.3005881088411614,0.1155429883679323,0.3249487564260268,0.25892014636487953
vacancies,2024-04-01,2025-04-01,12,same_horizon_past_rmse,16,0.29674668357785,0.11239747991228127,0.3204960492719944,0.27035978723787435
vacancies,2024-05-01,2024-06-01,1,same_horizon_past_rmse,17,0.44402932064757483,0.09254109474741612,0.3850845954146163,0.07834498919039276
vacancies,2024-05-01,2024-07-01,2,same_horizon_past_rmse,17,0.42938569746906247,0.09589956671343876,0.38577431074791885,0.08894042506957994
vacancies,2024-05-01,2024-08-01,3,same_horizon_past_rmse,17,0.40384510463575746,0.09822717830930344,0.3991338786271774,0.09879383842776168
vacancies,2024-05-01,2024-09-01,4,same_horizon_past_rmse,17,0.37766019076343227,0.11318274084373302,0.38348413735475156,0.12567293103808325
