target,origin,feature,importance
theta,2023-09-01,origin_month,0.008177667677471781
theta,2023-09-01,origin_quarter,0.004188566040647374
theta,2023-09-01,forecast_month,0.06381552132747606
theta,2023-09-01,forecast_quarter,0.023241681046506285
theta,2023-09-01,forecast_year,0.005187939297120521
theta,2023-09-01,origin_index,0.04085363523375311
theta,2023-09-01,ensemble_pred,0.054880764710342964
theta,2023-09-01,sarimax_pred,0.020729318148956562
theta,2023-09-01,tbats_prophet_pred,0.010790175105541486
theta,2023-09-01,var_pred,0.02440903527027134
theta,2023-09-01,bilstm_pred,0.02515923369473166
theta,2023-09-01,pred_mean,0.031180723859074232
theta,2023-09-01,pred_std,0.013602555110896095
theta,2023-09-01,pred_range,0.01942556441356864
theta,2023-09-01,sarimax_minus_var,0.030163723554963693
theta,2023-09-01,tbats_minus_bilstm,0.01905874039649
theta,2023-09-01,ensemble_minus_predmean,0.011584923189176454
theta,2023-09-01,w_sarimax,0.01854103759527195
theta,2023-09-01,w_tbats_prophet,0.05670483554475186
theta,2023-09-01,w_var,0.057142760658265804
theta,2023-09-01,w_bilstm,0.015314917358645678
theta,2023-09-01,weight_entropy_proxy,0.026084602259773812
theta,2023-09-01,past_resid_mean_all,0.07757427900177069
theta,2023-09-01,past_resid_std_all,0.026380157464252072
theta,2023-09-01,past_resid_mean_h,0.1359682509482298
theta,2023-09-01,past_resid_std_h,0.03513193846826203
theta,2023-09-01,past_resid_mean_fmonth,0.08071377357128907
theta,2023-10-01,horizon,0.06678123291921338
theta,2023-10-01,origin_month,0.00998627906846492
theta,2023-10-01,origin_quarter,0.0069134467987568
theta,2023-10-01,forecast_month,0.06691432136689104
theta,2023-10-01,forecast_quarter,0.029745914550900893
theta,2023-10-01,forecast_year,0.004456201468325305
theta,2023-10-01,origin_index,0.03814688776385992
theta,2023-10-01,ensemble_pred,0.05484952954580546
theta,2023-10-01,sarimax_pred,0.021690028449004195
theta,2023-10-01,tbats_prophet_pred,0.013659995799396486
theta,2023-10-01,var_pred,0.0263453476874352
theta,2023-10-01,bilstm_pred,0.022778076209255076
theta,2023-10-01,pred_mean,0.031498313735209144
theta,2023-10-01,pred_std,0.012332266969570446
theta,2023-10-01,pred_range,0.020166744948077568
theta,2023-10-01,sarimax_minus_var,0.02752623074630231
theta,2023-10-01,tbats_minus_bilstm,0.018961266095111336
theta,2023-10-01,ensemble_minus_predmean,0.011877762114851123
theta,2023-10-01,w_sarimax,0.01765177997121503
theta,2023-10-01,w_tbats_prophet,0.05647575617972465
theta,2023-10-01,w_var,0.04799181117485218
theta,2023-10-01,w_bilstm,0.018636893575002922
theta,2023-10-01,weight_entropy_proxy,0.02327265894075413
theta,2023-10-01,past_resid_mean_all,0.0807352945566577
theta,2023-10-01,past_resid_std_all,0.028106822132286824
theta,2023-10-01,past_resid_mean_h,0.13103907925013483
theta,2023-10-01,past_resid_std_h,0.02833992863120759
theta,2023-10-01,past_resid_mean_fmonth,0.08312012935173359
theta,2023-11-01,horizon,0.07112537140504459
theta,2023-11-01,origin_month,0.013335132951453142
theta,2023-11-01,origin_quarter,0.00780739632701307
theta,2023-11-01,forecast_month,0.06655135453805902
theta,2023-11-01,forecast_quarter,0.030785808028382985
theta,2023-11-01,forecast_year,0.00258768029791746
theta,2023-11-01,origin_index,0.04036191460653589
theta,2023-11-01,ensemble_pred,0.047261799349953115
theta,2023-11-01,sarimax_pred,0.02443962509744824
theta,2023-11-01,tbats_prophet_pred,0.01779398175213971
theta,2023-11-01,var_pred,0.027877792456492963
theta,2023-11-01,bilstm_pred,0.024180753951701894
theta,2023-11-01,pred_mean,0.034188110821165026
theta,2023-11-01,pred_std,0.01361211305163521
theta,2023-11-01,pred_range,0.019538229628074038
theta,2023-11-01,sarimax_minus_var,0.03250451942732413
theta,2023-11-01,tbats_minus_bilstm,0.017008179510738502
theta,2023-11-01,ensemble_minus_predmean,0.009946395270822741
theta,2023-11-01,w_sarimax,0.018689914038108806
theta,2023-11-01,w_tbats_prophet,0.04998528756147005
theta,2023-11-01,w_var,0.040087714998899654
theta,2023-11-01,w_bilstm,0.01783886407091818
theta,2023-11-01,weight_entropy_proxy,0.01986968923485225
theta,2023-11-01,past_resid_mean_all,0.08465389599901733
theta,2023-11-01,past_resid_std_all,0.040418146658583544
theta,2023-11-01,past_resid_mean_h,0.11802288126370537
theta,2023-11-01,past_resid_std_h,0.036556467249057756
theta,2023-11-01,past_resid_mean_fmonth,0.07297098045348524
theta,2023-12-01,horizon,0.07125358262921948
theta,2023-12-01,origin_month,0.01645083776296196
theta,2023-12-01,origin_quarter,0.006627233931807879
theta,2023-12-01,forecast_month,0.0741880264822658
theta,2023-12-01,forecast_quarter,0.021357633948272437
theta,2023-12-01,forecast_year,0.0031555978688788617
theta,2023-12-01,origin_index,0.04690582311842394
theta,2023-12-01,ensemble_pred,0.043912547237365
theta,2023-12-01,sarimax_pred,0.022954873254649975
theta,2023-12-01,tbats_prophet_pred,0.017159565849476706
theta,2023-12-01,var_pred,0.031036679945875445
theta,2023-12-01,bilstm_pred,0.022043887374380195
theta,2023-12-01,pred_mean,0.029646180234171017
theta,2023-12-01,pred_std,0.018417466540563626
theta,2023-12-01,pred_range,0.019954853636532408
theta,2023-12-01,sarimax_minus_var,0.03116259191430885
theta,2023-12-01,tbats_minus_bilstm,0.020819304278815332
theta,2023-12-01,ensemble_minus_predmean,0.007781315836239684
theta,2023-12-01,w_sarimax,0.017750500829353404
theta,2023-12-01,w_tbats_prophet,0.0523381507093607
theta,2023-12-01,w_var,0.038409643687155166
theta,2023-12-01,w_bilstm,0.01607152295205839
theta,2023-12-01,weight_entropy_proxy,0.014935857960702367
theta,2023-12-01,past_resid_mean_all,0.08342570705118692
theta,2023-12-01,past_resid_std_all,0.04379342423780741
theta,2023-12-01,past_resid_mean_h,0.1115648749440467
theta,2023-12-01,past_resid_std_h,0.035982096276719285
theta,2023-12-01,past_resid_mean_fmonth,0.08090021950740123
theta,2024-01-01,horizon,0.07433166696777431
theta,2024-01-01,origin_month,0.026480573052337086
theta,2024-01-01,origin_quarter,0.012037127648117665
theta,2024-01-01,forecast_month,0.06705976582954
theta,2024-01-01,forecast_quarter,0.022625086708992263
theta,2024-01-01,forecast_year,0.003236422795229438
theta,2024-01-01,origin_index,0.048026422832154345
theta,2024-01-01,ensemble_pred,0.040720154482228474
theta,2024-01-01,sarimax_pred,0.02265658121425608
theta,2024-01-01,tbats_prophet_pred,0.025178380066888762
theta,2024-01-01,var_pred,0.0353900474202432
theta,2024-01-01,bilstm_pred,0.024489470748678216
theta,2024-01-01,pred_mean,0.03666406733285692
theta,2024-01-01,pred_std,0.01604405901338223
theta,2024-01-01,pred_range,0.026071353717927077
theta,2024-01-01,sarimax_minus_var,0.027579590083775026
theta,2024-01-01,tbats_minus_bilstm,0.032964341823565155
theta,2024-01-01,ensemble_minus_predmean,0.010241345035476145
theta,2024-01-01,w_sarimax,0.02130017189126836
