origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2023-12-01,2024-10-01,10,557710.0,521538.9272262643,902442.4396182672,542504.3025964807,433888.6700450565,0.2951380177442192,0.1347416812024433,0.3425755662577642,0.2275447347955733,560100.3776760753,-2390.3776760753244,-85106.01946045177,474994.35821562354,rolling_rf
2023-12-01,2024-11-01,11,525185.0,498358.7335359142,903712.4416200418,515098.023976964,427799.8865731364,0.2876873729770135,0.1336643619829638,0.3340175789078299,0.2446306861321928,540870.4364249614,-15685.43642496143,-86934.78378830817,453935.6526366533,rolling_rf
2023-12-01,2024-12-01,12,440185.0,459600.9007082059,894516.1340018893,493806.02565601264,422240.3417637535,0.2845436459294009,0.1301337708395779,0.3280398734950303,0.2572827097359909,517806.479030568,-77621.47903056798,-122215.52768252353,395590.95134804444,rolling_rf
2024-01-01,2024-02-01,1,588470.0,566810.8788880452,840126.6226913702,574723.4184624403,531799.3180051016,0.4382723247436773,0.116119197584437,0.3700078142837864,0.0756006633880991,598828.8879900334,-10358.88799003337,-11275.663691557003,587553.2242984764,rolling_rf
2024-01-01,2024-03-01,2,595090.0,600889.8055820838,860596.9766175017,600100.1343305045,527307.7182822267,0.4201076362607316,0.1188017490062682,0.3739616927066537,0.0871289220263464,625037.036985754,-29947.036985754035,-36244.47770042013,588792.5592853338,rolling_rf
2024-01-01,2024-04-01,3,642810.0,611136.9053376277,874865.6151724877,624650.238956579,521736.4107177933,0.3981739201513115,0.1184466878856255,0.387506012860385,0.0958733791026779,639040.0680363938,3769.9319636061555,-32309.909612304502,606730.1584240893,rolling_rf
2024-01-01,2024-05-01,4,616605.0,600725.7132381484,874547.3755578683,609006.6931871631,514771.58706179145,0.3686396171030959,0.1376221394296712,0.3717044523473012,0.1220337911199316,630998.4054659229,-14393.4054659229,-36426.151426318145,594572.2540396048,rolling_rf
2024-01-01,2024-06-01,5,585620.0,588284.5529198103,881324.7589285459,600276.3811662052,507311.5706527179,0.349506805015247,0.1360974213407118,0.3778759857240046,0.1365197879200366,621643.5788596333,-36023.5788596333,-44247.39822375735,577396.1806358759,rolling_rf
2024-01-01,2024-07-01,6,563955.0,583210.6129474397,883303.786315746,600009.3968354949,499511.707680519,0.3319468486213294,0.1332302603713637,0.3783800312392614,0.1564428597680453,616454.3328439001,-52499.332843900076,-46354.77234345689,570099.5605004432,rolling_rf
2024-01-01,2024-08-01,7,567725.0,583243.2864506416,890781.4130566934,601489.4926960099,491735.6226788675,0.3229510791071621,0.1348728916910641,0.36116713043659,0.1810088987651837,614748.0713943427,-47023.071394342696,-48932.34968155155,565815.7217127911,rolling_rf
2024-01-01,2024-09-01,8,565870.0,580047.6062474161,896842.293216381,620522.2575294452,483520.53107929794,0.3133684589163929,0.1349676349174883,0.3499101016780313,0.2017538044880873,617492.4205962456,-51622.42059624556,-53486.47120586526,564005.9493903803,rolling_rf
2024-01-01,2024-10-01,9,557710.0,583638.8365966963,892204.6590385884,621671.5089321437,476012.6509836757,0.3015456596578902,0.1296243411177606,0.3512533417257326,0.2175766574986165,613578.6355497655,-55868.635549765546,-59902.710911402355,553675.9246383632,rolling_rf
2024-01-01,2024-11-01,10,525185.0,558500.8347289955,892716.6018076066,583871.7999063444,467515.41985751176,0.29794069924873,0.1295738129076597,0.3465804985401523,0.2259049893034579,590045.4685895266,-64860.4685895266,-26626.59002012618,563418.8785694004,rolling_rf
2024-01-01,2024-12-01,11,440185.0,515508.2521484591,882862.9504461942,570335.0982607679,459892.2303285401,0.2904436838342101,0.1278175325999395,0.3375910668136013,0.2441477167522489,567393.1520007737,-127208.1520007737,-66456.76081494676,500936.391185827,rolling_rf
2024-01-01,2025-01-01,12,473755.0,533117.104286584,884989.2571437196,585151.9956902819,455416.5146179151,0.2876483377059101,0.1225937898063018,0.3296155508583958,0.2601423216293922,573192.7426381488,-99437.74263814883,-30694.14281927513,542498.5998188737,rolling_rf
2024-02-01,2024-03-01,1,595090.0,619587.7568309917,853176.1597334899,609447.56353958,544280.5087665167,0.4407678891681055,0.1076477474135821,0.3749135916116504,0.076670771806662,635157.4611071233,-40067.461107123294,-21757.569247519885,613399.8918596035,rolling_rf
2024-02-01,2024-04-01,2,642810.0,634036.8757322225,867665.1568058734,631384.0432759051,541040.1742920702,0.424156158280374,0.1104564979843781,0.3776485436641577,0.0877388000710902,650681.3801810862,-7871.38018108625,-21008.635632297766,629672.7445487885,rolling_rf
2024-02-01,2024-05-01,3,616605.0,624038.9641525255,868259.6175051546,611853.5926406158,538004.2406543294,0.3987868968655841,0.1137764076677077,0.3912448030471226,0.0961918924195855,638782.2066249278,-22177.206624927814,-23807.037743282955,614975.1688816448,rolling_rf
2024-02-01,2024-06-01,4,585620.0,612459.3348136822,876205.8606428368,599928.327324115,535022.3236352059,0.3714791091308119,0.1312082682717051,0.3750390333151468,0.1222735892823362,632896.9414949634,-47276.941494963365,-30772.869881532002,602124.0716134313,rolling_rf
2024-02-01,2024-07-01,5,563955.0,608125.9960307776,878730.227499428,601032.3253523266,531987.2838627725,0.3528760750785513,0.1289012335042312,0.3810406668275747,0.1371820245896426,629859.375568124,-65904.375568124,-33573.785234138646,596285.5903339854,rolling_rf
2024-02-01,2024-08-01,6,567725.0,608953.7078223032,886324.1412719374,605921.963907174,529176.950333394,0.3354390739163447,0.1265274847004286,0.3803025225466092,0.1577309188366175,630312.4499777824,-62587.44997778244,-35933.49410875127,594378.9558690311,rolling_rf
2024-02-01,2024-09-01,7,565870.0,606341.2170320875,891954.9099222545,625542.7158985975,526498.5294009807,0.3260980309650355,0.1287934552208644,0.3632738792557342,0.1818346345583659,635583.6284510045,-69713.62845100451,-45551.71586234604,590031.9125886585,rolling_rf
