origin,forecast_date,horizon,actual,sarimax_pred,tbats_prophet_pred,var_pred,bilstm_pred,w_sarimax,w_tbats_prophet,w_var,w_bilstm,ensemble_pred,residual,rf_residual_pred,final_hybrid_pred,rf_model_used
2023-07-01,2023-08-01,1,1164700.0,1175050.0297039622,1174301.7559570891,1175535.895672258,1079161.8108858338,0.3052442040240102,0.3089113812542548,0.2538206852330608,0.1320237294886742,1162282.6819978682,2417.3180021317676,57010.899992107945,1219293.581989976,rolling_rf
2023-07-01,2023-09-01,2,1181400.0,1175474.1407807376,1174301.7559570891,1193924.578914785,1092523.005266293,0.2781701384769166,0.2791823724815055,0.2461524135935957,0.196495075447982,1163388.9618513586,18011.038148641353,57606.63642989531,1220995.598281254,rolling_rf
2023-07-01,2023-10-01,3,1235900.0,1175537.177597063,1174301.7559570891,1206442.1966853158,1105421.4669208971,0.2605305965308599,0.2604275599034422,0.2520130675225757,0.2270287760431222,1167085.6244399836,68814.37556001637,67736.63359785179,1234822.2580378354,rolling_rf
2023-07-01,2023-11-01,4,1253300.0,1175546.5452824917,1174301.7559570891,1204695.4574951057,1118033.4591782948,0.2374982945797341,0.2364004210514334,0.2885440881418333,0.2375571962269991,1170000.3753752862,83299.62462471379,79293.91642446957,1249294.2917997558,rolling_rf
2023-07-01,2023-12-01,5,1263300.0,1175547.9373456454,1174301.7559570891,1202514.110185854,1130641.3601700985,0.219178444748357,0.2183687907263008,0.3072379426750595,0.2552148218502825,1172100.0175942832,91199.98240571679,96378.3964419218,1268478.414036205,rolling_rf
2023-07-01,2024-01-01,6,1246400.0,1175548.144209154,1174301.7559570891,1216119.6949074136,1143135.383159206,0.2107031209403138,0.2102756132587846,0.2942231335355272,0.2847981322653745,1177992.0541253411,68407.94587465888,103347.85242100214,1281339.9065463434,rolling_rf
2023-07-01,2024-02-01,7,1300900.0,1175548.1749494884,1174301.7559570891,1230581.3815378405,1154998.6989934512,0.1924756659925204,0.1922093272473814,0.2773955220819097,0.3379194846781884,1183630.4983414377,117269.50165856234,117248.3485357545,1300878.8468771921,rolling_rf
2023-07-01,2024-03-01,8,1350400.0,1175548.1795175627,1174301.7559570891,1241035.501449037,1167450.8537936392,0.182816908058449,0.1824575543790912,0.2792569781419531,0.3554685594205066,1190730.2070419495,159669.7929580505,130781.26493200507,1321511.4719739545,rolling_rf
2023-07-01,2024-04-01,9,1360600.0,1175548.1801963868,1174301.7559570891,1244800.4539401762,1179191.1159540133,0.182907307241304,0.1825300013257975,0.2815119121744747,0.3530507792584237,1196102.151690398,164497.8483096019,140366.6570246389,1336468.808715037,rolling_rf
2023-07-01,2024-05-01,10,1380700.0,1175548.180297261,1174301.7559570891,1245201.8535972363,1189609.1974328612,0.1840209562703801,0.1837348517593776,0.2741167116494875,0.3581274803207547,1199448.041222707,181251.9587772931,148272.80401168627,1347720.8452343931,rolling_rf
