target,horizon,model,n_obs,ME_bias,MAE,RMSE,MAPE,sMAPE,MASE
unemployment,10,SARIMAX,25,168577.99394693755,168577.99394693755,180237.4035710922,11.878811004433846,12.75870160587954,5.894335452690124
unemployment,10,TBATS_PROPHET,25,169298.09144536668,169298.09144536668,180778.1957885196,11.92736587296095,12.812320881856841,5.919513686900933
unemployment,10,VAR,25,108787.62285270491,113707.5717143113,130534.11609697893,7.865981600987508,8.295188096187188,3.9757892207801153
unemployment,10,BiLSTM_Attention,25,155790.63654624467,166017.40515290143,197392.43533286607,11.16026980864716,12.053347758023126,5.804804375975574
unemployment,11,SARIMAX,25,178497.9939301166,181326.08326163926,195134.36737547547,12.649702495582357,13.666792444054101,5.91441424066233
unemployment,11,TBATS_PROPHET,25,179218.09144536668,181724.98261530005,195619.0171260241,12.67730328580571,13.699572494659826,5.927425363913022
unemployment,11,VAR,25,118874.27578169048,132443.16527318192,144804.92622709635,9.08435459549319,9.58569343928975,4.319972773248663
unemployment,11,BiLSTM_Attention,25,156706.13300955232,169939.2872925179,203500.06562674404,11.35218555946485,12.300748803815077,5.543004749959812
unemployment,12,SARIMAX,25,190433.9939275776,197881.1144134652,209450.1464389893,13.674365452478233,14.817777001916738,5.984307895568504
unemployment,12,TBATS_PROPHET,25,191154.09144536668,198403.10456371613,209973.19026026851,13.708975303170856,14.858737229123392,6.000093888015609
unemployment,12,VAR,25,131537.58441578088,144140.64639411547,159063.6317948059,9.806314256842231,10.41534296474468,4.359092128854298
unemployment,12,BiLSTM_Attention,25,158169.39295895648,170313.29299360473,208421.84956169798,11.255869940499355,12.260603649961176,5.150603618758208
